                +-------------------+
+---------------| Система счисления |
|   №   | ASCII |   16   |   _10    |
|   171 |   Є   |   AA   |   170    |
|   172 |   «   |   AB   |   171    |
|   173 |   ¬   |   AC   |   172    |
|   174 |   ·   |   AD   |   173    |
|   175 |   ®   |   AE   |   174    |
|   176 |   Ї   |   AF   |   175    |
|   177 |   °   |   B0   |   176    |
|   178 |   ±   |   B1   |   177    |
|   179 |   І   |   B2   |   178    |
|   180 |   і   |   B3   |   179    |
|   181 |   ґ   |   B4   |   180    |
|   182 |   µ   |   B5   |   181    |
|   183 |   ¶   |   B6   |   182    |
|   184 |   ·   |   B7   |   183    |
|   185 |   ё   |   B8   |   184    |
|   186 |   №   |   B9   |   185    |
|   187 |   є   |   BA   |   186    |
|   188 |   »   |   BB   |   187    |
|   189 |   ј   |   BC   |   188    |
|   190 |   Ѕ   |   BD   |   189    |
|   191 |   ѕ   |   BE   |   190    |
|   192 |   ї   |   BF   |   191    |
|   193 |   А   |   C0   |   192    |
|   194 |   Б   |   C1   |   193    |
|   195 |   В   |   C2   |   194    |
|   196 |   Г   |   C3   |   195    |
|   197 |   Д   |   C4   |   196    |
|   198 |   Е   |   C5   |   197    |
|   199 |   Ж   |   C6   |   198    |
|   200 |   З   |   C7   |   199    |
|   201 |   И   |   C8   |   200    |
|   202 |   Й   |   C9   |   201    |
|   203 |   К   |   CA   |   202    |
|   204 |   Л   |   CB   |   203    |
|   205 |   М   |   CC   |   204    |
|   206 |   Н   |   CD   |   205    |
|   207 |   О   |   CE   |   206    |
|   208 |   П   |   CF   |   207    |
|   209 |   Р   |   D0   |   208    |
|   210 |   С   |   D1   |   209    |
|   211 |   Т   |   D2   |   210    |
|   212 |   У   |   D3   |   211    |
|   213 |   Ф   |   D4   |   212    |
|   214 |   Х   |   D5   |   213    |
|   215 |   Ц   |   D6   |   214    |
|   216 |   Ч   |   D7   |   215    |
|   217 |   Ш   |   D8   |   216    |
|   218 |   Щ   |   D9   |   217    |
|   219 |   Ъ   |   DA   |   218    |
|   220 |   Ы   |   DB   |   219    |
|   221 |   Ь   |   DC   |   220    |
|   222 |   Э   |   DD   |   221    |
|   223 |   Ю   |   DE   |   222    |
|   224 |   Я   |   DF   |   223    |
|   225 |   а   |   E0   |   224    |
|   226 |   б   |   E1   |   225    |
|   227 |   в   |   E2   |   226    |
|   228 |   г   |   E3   |   227    |
|   229 |   д   |   E4   |   228    |
|   230 |   е   |   E5   |   229    |
|   231 |   ж   |   E6   |   230    |
|   232 |   з   |   E7   |   231    |
|   233 |   и   |   E8   |   232    |
|   234 |   й   |   E9   |   233    |
|   235 |   к   |   EA   |   234    |
|   236 |   л   |   EB   |   235    |
|   237 |   м   |   EC   |   236    |
|   238 |   н   |   ED   |   237    |
|   239 |   о   |   EE   |   238    |
|   240 |   п   |   EF   |   239    |
|   241 |   р   |   F0   |   240    |
|   242 |   с   |   F1   |   241    |
|   243 |   т   |   F2   |   242    |
|   244 |   у   |   F3   |   243    |
|   245 |   ф   |   F4   |   244    |
|   246 |   х   |   F5   |   245    |
|   247 |   ц   |   F6   |   246    |
|   248 |   ч   |   F7   |   247    |
|   249 |   ш   |   F8   |   248    |
|   250 |   щ   |   F9   |   249    |
|   251 |   ъ   |   FA   |   250    |
|   252 |   ы   |   FB   |   251    |
|   253 |   ь   |   FC   |   252    |
|   254 |   э   |   FD   |   253    |
|   255 |   ю   |   FE   |   254    |
|   256 |   я   |   FF   |   255    |
+-------+-------+--------+----------+
